ds,Country,share,yhat_lstm_country
2011-12-16 12:50:00,United Kingdom,0.8242357277319916,147207.4320422243
2011-12-16 12:50:00,EIRE,0.03544223452483662,6329.937121987921
2011-12-16 12:50:00,Netherlands,0.032778102855111554,5854.126660820783
2011-12-16 12:50:00,Germany,0.026716064501518148,4771.454472574991
2011-12-16 12:50:00,France,0.020915175079017734,3735.423144744887
2011-12-23 12:50:00,United Kingdom,0.8242357277319916,143998.88841309558
2011-12-23 12:50:00,EIRE,0.03544223452483662,6191.969363541363
2011-12-23 12:50:00,Netherlands,0.032778102855111554,5726.529700931548
2011-12-23 12:50:00,Germany,0.026716064501518148,4667.455512486706
2011-12-23 12:50:00,France,0.020915175079017734,3654.0055969560403
2011-12-30 12:50:00,United Kingdom,0.8242357277319916,122891.71823181905
2011-12-30 12:50:00,EIRE,0.03544223452483662,5284.358530195288
2011-12-30 12:50:00,Netherlands,0.032778102855111554,4887.142409281423
2011-12-30 12:50:00,Germany,0.026716064501518148,3983.305940908243
2011-12-30 12:50:00,France,0.020915175079017734,3118.4061987368377
2012-01-06 12:50:00,United Kingdom,0.8242357277319916,121635.90494983664
2012-01-06 12:50:00,EIRE,0.03544223452483662,5230.358409402299
2012-01-06 12:50:00,Netherlands,0.032778102855111554,4837.201384476661
2012-01-06 12:50:00,Germany,0.026716064501518148,3942.6010945706253
2012-01-06 12:50:00,France,0.020915175079017734,3086.5396419066797
