ds,Country,share,yhat_lstm_country
2011-12-16 12:50:00,United Kingdom,0.8090799543645291,218294.80315351614
2011-12-16 12:50:00,Netherlands,0.034172658723892094,9219.995834927526
2011-12-16 12:50:00,EIRE,0.03126784984927592,8436.260336275893
2011-12-16 12:50:00,Germany,0.02872491335326734,7750.160255766444
2011-12-16 12:50:00,France,0.024937866372742673,6728.391429722478
2011-12-23 12:50:00,United Kingdom,0.8090799543645291,219237.86169157372
2011-12-23 12:50:00,Netherlands,0.034172658723892094,9259.827272356977
2011-12-23 12:50:00,EIRE,0.03126784984927592,8472.705946636148
2011-12-23 12:50:00,Germany,0.02872491335326734,7783.641835240304
2011-12-23 12:50:00,France,0.024937866372742673,6757.458850904883
2011-12-30 12:50:00,United Kingdom,0.8090799543645291,221944.94208388316
2011-12-30 12:50:00,Netherlands,0.034172658723892094,9374.16471686478
2011-12-30 12:50:00,EIRE,0.03126784984927592,8577.324263750594
2011-12-30 12:50:00,Germany,0.02872491335326734,7879.751804706168
2011-12-30 12:50:00,France,0.024937866372742673,6840.897834554783
2012-01-06 12:50:00,United Kingdom,0.8090799543645291,223114.56829291137
2012-01-06 12:50:00,Netherlands,0.034172658723892094,9423.565566632507
2012-01-06 12:50:00,EIRE,0.03126784984927592,8622.525849188954
2012-01-06 12:50:00,Germany,0.02872491335326734,7921.277257572485
2012-01-06 12:50:00,France,0.024937866372742673,6876.948637629879
